Ranking,Total,Car_ID,Year,Make,Model
1,128,128,2010,Infiniti,G37
2,124,124,2015,Jeep,Wrangler
3,120,15,2014,Audi,S4
4,116,113,2012,Acura,"Tsx sportwagon"
5,112,83,2014,Honda,Accord
6,110,112,2008,Acura,TL
7,106,65,2009,Honda,Fit
8,102,50,2015,Acura,TLX
9,102,31,2007,Honda,Fit
10,102,91,2010,Mitsu,Lancer
11,96,216,2007,Chrystler,300
12,92,228,2010,Nissan,370
13,92,175,2006,Honda,Civic
14,92,126,2010,Volkswagen,Eos
15,92,13,2016,Honda,"Civic 1.5t"
16,86,127,2013,Acura,Tsx
17,86,63,2010,Honda,Civic
18,84,161,2012,Nissan,370z
19,84,3,2011,Nissan,370
20,82.0,180,2011,Volkswagen,Gti
21,80,57,2015,Scion,Frs
22,78,25,2012,Mercedes,C250
23,78,106,2007,Acura,"Tl type s"
24,74,36,2016,Subaru,WRX
25,72,178,2009,Honda,Oddesy
26,72,39,2011,Honda,Civic
27,72,103,2010,Acura,Tsx
28,70,84,2012,Mercedes,Cl63amg
29,68,33,2015,Subaru,Sti
30,66,30,2012,Hyundai,Celoster
31,66,123,2006,Lexus,Sc430
32,66,1051,2006,Acura,Tsx
33,64,218,2010,Chevy,Camaro
34,64,41,2012,Acura,Tsx
35,64,158,2007,Nissan,350z
36,62,48,2015,Acura,TLX
37,62,21,2009,Subaru,WRX
38,62,23,1998,Subaru,Legacy
39,62,12,1990,Nissan,240
40,62,38,2017,Hyundai,"Elantra sport"
41,60,35,2016,Honda,Civic
42,60,53,2013,Subaru,WRX
43,58,142,1993,Toyota,Supra
44,58,110,2011,Toyota,Camry
45,56,156,2014,Volkswagen,Gli
46,56,115,2001,Honda,Crv
47,54,43,2011,Toyota,"4 Runner"
48,54,37,2015,Subaru,Sti
49,54,137,2017,Ford,"Focus rs"
50,54,6,2016,Volkswagen,"Golf r"
51,52,134,2013,Subaru,WRX
52,52,225,2016,Acura,TLX
53,50,51,2015,Subaru,WRX
54,50,5,2003,Acura,Rsx
55,50,170,2014,Chevy,Cruze
56,50,189,2012,Toyota,"Fj cruiser"
57,48,88,2008,Honda,Accord
58,48,104,2014,Honda,"Civic si"
59,48,52,2007,Mazda,"Speed 3"
60,48,211,2004,Acura,Tsx
61,46,232,2018,Subaru,WRX
62,44,8,1991,Nissan,Skyline
63,44,140,1995,Mitsu,Evo8
64,44,Showcar,2014,Nissan,Gtr
65,44,121,2012,Acura,TL
66,44,118,1993,Honda,Civic
67,44,9,1996,Nissan,240
68,44,122,2011,Infiniti,M37s
69,42,85,2017,Honda,Accord
70,42.0,153,2017,Subaru,Brz
71,42,56,2009,Volkswagen,Jetta
72,42,49,1997,Acura,Integra
73,42,45,2006,Acura,TL
74,40,222,2015,Lexus,Is250
75,40,207,1993,Honda,"Civic eG"
76,40,176,2014,Mitsu,Lancer
77,40,44,2018,Honda,"Civic si"
78,40,19,2001,Mitsu,Evo7
79,38,20,2009,Infiniti,G37
80,38,99,2014,Honda,"Civic si"
81,38,145,1990,Volkswagen,Gti
82,38,179,2004,Volkswagen,R32
83,38,18,2015,Audi,S3
84,36,200,2016,Subaru,WRX
85,36,162,2014,Nissan,370z
86,36,78,2015,Mazda,6
87,34,10,2001,Nissan,S15
88,34,17,2016,Mercedes,C43
89,32,4341,1992,Nissan,Rps13
90,32,46,2008,Volkswagen,R32
91,32,24,2013,Subaru,BRZ
92,30,7,2014,Nissan,Sentra
93,30,181,2003,Volkswagen,Gti
94,30,120,2014,Ford,"Focus st"
95,30,92,2017,Hyundai,"Elantra sport"
96,30,11,1991,Nissan,Skyline
97,28,59,2012,Volkswagen,Golf
98,28,116,2008,Audi,A4
99,28,238,1982,Volkswagen,Rabbit
100,28,144,2016,Volkswagen,Gti
101,26,14,1990,Nissan,Skyline
102,26,98,2012,Mercedes,C63
103,26,114,2010,Volkswagen,Gti
104,26,219,2016,Ford,"Focus rs"
105,26,141,1993,Mazda,Miata
106,26,187,2007,Subaru,Legacy
107,26,242,2014,Nissan,Maxima
108,24,2,2016,Bmw,M2
109,24,130,2016,Honda,"Civic si"
110,24,241,2007,Toyota,Camry
111,24,22,2007,Honda,Civic
112,24,81,2016,Volkswagen,GTI
113,22,163,2013,Mitsu,Ralliart
114,22,93,2005,Acura,TL
115,22,150,2006,Nissan,350z
116,22,100,2006,Volvo,S60r
117,22,172,2014,Bmw,4
118,20,167,2016,Ford,Mystang
119,20,230,2004,Acura,Tsx
120,20,182,2012,Volkswagen,Cc
121,20,235,2013,Scion,Frs
122,18,79,1993,Mazda,Miata
123,18,226,2008,Honda,Accord
124,18,34,2010,Honda,Fit
125,16,183,2005,Volkswagen,Jetta
126,16,89,2014,Honda,"Civic si"
127,16,Vip,2008,Volkswagen,Gli
128,14,159,2013,Hyundai,"Gen coupe"
129,14,67,2015,Subaru,Sti
130,14,108,2013,Audi,S4
131,14,220,2004,Audi,A4
132,14,186,2012,Volkswagen,Gli
133,14,4,2007,Honda,Civic
134,14,193,2014,Nissan,Ssntra
135,12,177,2005,Volkswagen,"Jetta gli"
136,12,95,2004,Infiniti,G35
137,12,76,2005,Subaru,Sti
138,10,68,2013,Nissan,Altima
139,10,102,2015,Honda,Accord
140,10,111,2007,Bmw,328i
141,10,243,2008,Toyota,Matrix
142,10,16,2008,Nissan,350z
143,10,96,2017,Volkswagen,Gti
144,10,138,1990,Mazda,Miata
145,10,94,2004,Volkswagen,Gti
146,10,190,1995,Lexus,Sc300
147,10,237,1987,Volkswagen,Jetta
148,8,184,2010,Volkswagen,Cc
149,8,42,2001,Dodge,Viper
150,8,28,1995,Bmw,318xi
151,8,185,2013,Volkswagen,Jett
152,8,74,2015,Honda,Accord
153,8,69,2018,Subaru,WRX
154,8,86,1996,Volkswagen,Jetta
155,6,1,2012,Subaru,WRX
156,6,75,2012,Subaru,WRX
157,6,212,2001,Lexus,Is300
158,6,40,2007,Subaru,Legacy
159,6,71,2008,Acura,TL
160,6,64,2004,Subaru,Forester
161,4,66,2010,Volkswagen,Gti
162,4,72,2016,Honda,"Civic si"
163,4,174,2006,Acura,Rsx
164,2,197,2010,Audi,A4
165,0.0,Car_ID,Year,Make,Model
166,0,101,2014,Honda,Civic
167,0,0,2015,Chevy,Camaro
168,0,70,2014,Honda,Civic
